gnd,age,ht,wt,wa,hdln,hdwd,ftln,ftwd,bld,lft,smk,alc
M,16,170.3,51.1,65.5,18.2,7.7,24.8,9.4,O,0,0,0
M,66,160.2,81.3,100.5,16.8,8.5,24.5,10.3,A,0,0,1
F,17,149.6,48.8,68.5,15.8,7.4,21.8,8.9,O,0,0,0
M,33,177,72.4,81.2,18.9,7.9,26,10.6,AB,0,0,0
F,16,162.4,55.5,72.1,17,6.4,24.1,9.1,O,0,0,0
M,17,172.2,71.4,81.2,17.7,8.1,24.7,10.1,O,0,1,0
F,34,158.2,58.4,79.1,17.4,8.4,22.5,10,O,0,0,0
F,24,162,47.1,63.5,16.8,7.1,23,8.8,B,0,0,1
F,34,161.2,54.2,71,17.1,7.4,22.9,9.1,AB,0,0,0
F,18,162,55,72.3,17.5,7.4,23.9,10,A,0,0,0
M,20,175.8,71.3,80.5,19.1,8.2,26.1,10.3,AB,NA,0,0
F,51,157,55.6,76.5,17.3,7.8,24.6,9.8,B,0,0,0
F,19,156.4,63.3,87,16.3,7,23.3,9.3,B,0,0,NA
M,25,178.8,73.3,81.8,19.1,8,27.5,10.1,A,0,1,0
F,30,158.4,52,76,16.6,7.5,22.2,8.4,A,0,0,0
F,51,152.8,72.8,93.5,17.4,8.4,23.8,9.4,AB,0,0,1
M,22,176,80.5,86.5,19.1,8.6,25.9,11.1,O,0,1,0
M,19,172.5,79.8,89.5,17.5,8.2,25.8,10.1,B,0,1,1
F,60,158,52.4,80.2,18,8,NA,9.2,AB,0,0,0
M,25,170.4,65.1,74.6,18.7,8.1,26.5,10.7,B,0,0,0
M,26,162.5,58.6,75,16.4,7.5,24.2,9,O,0,1,1
M,44,170.3,71.8,87.1,18.4,8.7,26,10.7,B,1,1,0
F,68,144.3,48.2,79,16,7.8,21.9,8.9,B,0,0,0
F,17,165.2,56.1,69.6,17.2,7.5,24.6,9.8,O,0,0,0
M,38,167.5,73.6,83.4,18.1,8.7,25.8,10.5,B,1,1,0
M,18,178.5,91.4,91.7,18.7,8.1,26.2,10.8,AB,0,0,0
F,62,146.4,68.4,101.5,16.6,7.7,22.6,8.9,A,0,0,1
F,34,154.2,39.9,59,17.1,7.4,23,9.4,B,0,0,1
F,18,170,44.4,61,16.8,6.7,23.7,8.8,O,0,0,0
M,NA,164.2,65.6,74.5,18.3,8.4,25.8,11.4,A,0,0,0
F,40,164,NA,77.8,17.9,7.5,24.2,9.5,B,0,0,0
M,18,172.5,58.1,69.7,18.6,7.2,25.7,10.2,A,0,0,0
F,20,163.4,47.6,66.5,16.8,7.5,24,9.9,A,0,0,0
M,44,165.7,60.1,70,18,8.5,24.5,10.5,A,0,0,0
M,17,164,45.6,63.1,18.4,7.3,24.2,8.5,O,0,0,0
M,21,177.8,100.8,NA,19.2,8.7,27.9,11.1,O,0,1,1
F,40,148.4,47.8,72.5,15.5,7,21.5,8.7,A,0,0,0
M,19,173.4,74,80.4,17,NA,24.9,9.3,O,0,0,0
F,19,154.8,45.9,NA,17.4,7.1,23.5,10.1,O,0,0,0
F,66,155.4,62.9,95,17.2,7.7,23.8,9.2,A,0,0,0
F,20,165.1,56.4,69,18.8,7.8,25.4,10.1,B,0,0,0
M,37,173.4,67,86.5,18.6,8.5,26.9,10,O,0,1,0
M,39,170.2,81.8,89.5,18.4,8.9,25,9.8,B,0,1,0
F,21,154.5,55.4,NA,17.5,7.4,23.9,9,O,0,0,0
F,18,158.6,49.5,62,17.4,6.6,23,9,O,0,0,1
F,54,158,54.8,76,16.9,7.7,23.5,9.1,A,0,0,0
M,17,170.7,73.4,77,18.7,8.3,26.2,10.6,O,0,0,0
M,33,170.9,60.3,71.4,17.9,8.2,24.8,9.8,O,0,1,0
F,60,158,61.9,82,16.7,8.1,23.3,9.2,O,0,0,0
M,56,156.2,62.2,86.6,15.9,8,23,10,B,0,0,0
M,26,171.8,68.3,79.5,19.2,8.3,26.5,10.4,B,0,0,0
F,16,160.4,54.9,66.1,16.3,7.3,22.9,9.4,B,0,0,0
M,19,177.4,60.6,68.5,18.8,8.2,25.9,10.2,AB,0,1,1
M,53,165.2,67.8,81,17.8,7.5,24.3,9.8,A,0,1,0
M,48,177.4,77,88.9,18.2,8.5,25.5,9.8,O,0,1,NA
F,49,152.5,65.3,88,16.1,6.9,22.8,8.9,O,0,0,0
F,19,161.8,57.8,71,17,7.3,24.1,9.3,B,0,0,0
M,27,169.1,79.5,88.4,18.8,8.6,25.9,11,A,0,1,0
M,17,174,63.6,74.5,18.2,8.6,26.1,10.2,B,0,0,0
M,18,172,65.2,74.7,18.5,7.8,25.5,10.8,A,0,0,0
F,19,151.8,43.6,65,16.2,6.8,22.6,8.2,B,NA,0,0
M,16,166.9,82.2,88.5,16.5,8.6,24.2,10.9,O,0,0,0
M,34,181.6,88.8,91.4,17.9,8.4,26.1,9.6,AB,0,0,NA
F,54,158,56.2,79.5,17.2,7.8,23.3,8.8,B,0,0,0
M,25,179.4,84.1,99.8,19,8.1,25.2,9.9,O,0,0,0
F,46,156,65.2,NA,16.5,8,22.8,9.4,O,0,0,0
F,20,161.8,56.4,71.3,16.2,7,23,9,A,0,0,0
M,26,173.5,77.8,85.4,18,8.3,26.1,10.6,B,0,0,0
M,19,172,59.1,71,17.3,7.8,24.2,9.9,AB,0,1,1
M,31,171.5,62.7,73.9,17.8,7.5,23.9,9.7,B,0,1,1
F,24,158.4,58.3,76.4,17.4,7.4,24.2,9.7,O,1,0,0
M,20,177.9,54.2,67.3,19,7.8,25.5,9.7,A,1,0,0
F,57,147,58.7,91.5,16.7,7.6,22.5,9.5,A,0,0,0
M,17,171.1,56.4,70.5,17.5,7.8,26,9.9,AB,NA,0,0
M,33,173.3,71.2,89.4,18.2,8.8,25.8,10.3,B,0,0,1
F,20,153.5,44.8,62.4,16,7.4,22.1,9,AB,0,0,0
M,23,168.8,70.2,78,17.8,8.3,25.1,10.6,B,1,0,0
M,32,176.1,88.4,91.2,18.6,8.4,26.2,10.6,O,NA,NA,1
F,53,152.5,68.4,94.6,16.9,8.2,22.8,9.6,AB,0,0,0
F,39,160.5,59.3,77.6,18.1,7.2,25.5,9.7,O,0,0,1
F,20,161.3,62.7,75,17.5,7.4,23.8,9.5,A,0,0,0
M,52,172.1,66,86,17.9,7.8,25.1,9.5,A,0,0,0
F,51,156.9,63.3,82.5,16.7,8,23.6,9.6,A,0,1,0
F,30,156.5,66.5,87.7,17.2,7.9,23.8,9.5,B,0,0,0
F,36,161,52.6,65.5,16.7,7.1,23,9.2,A,0,0,0
M,26,170.8,59.2,71.2,17.4,8.4,23.4,9.1,A,0,0,0
M,30,171.9,75.9,83.6,17.1,8,25,9.5,B,0,0,1
F,34,154.3,54.4,81.5,16.8,7,22.1,9.1,A,0,0,0
F,16,165,58.4,67,17.6,7.3,24.5,9.6,B,0,0,0
M,17,177.4,69.7,75.6,20.2,8.1,27.5,10.8,AB,0,0,0
M,39,173.9,95.6,98.4,19.6,8.6,25.8,10.4,A,0,1,0
F,33,164,81.3,86.6,17.7,7.5,24.7,9.3,B,0,0,0
F,46,154.2,52.5,72.7,17.2,7.6,22.8,9.6,A,0,0,1
M,27,169.8,69.6,84,18.1,7.9,24.7,10.6,A,0,1,0
M,NA,163.3,61.4,82.1,18.5,8.3,24.8,9.9,B,1,1,1
M,37,174.5,82.4,86,18.3,9,25.7,10.3,AB,0,1,0
F,53,149.9,61.8,80.1,16,7.4,22.6,8.7,O,0,0,0
F,17,151.6,52.3,70.2,15.8,7.1,22.1,8.9,AB,0,0,0
F,61,153.4,58.2,87.2,16.6,7.6,23.2,9.3,B,1,0,0
M,18,169,58.6,67.5,19,8,26.9,9.9,A,0,0,0
M,57,173.4,68.1,82.4,18.9,8.7,25.6,10.2,B,0,1,NA
F,16,164.6,57.3,68.4,15.9,6.5,23.6,8.5,AB,0,1,0
F,54,154.9,50.9,74.5,17.5,7.6,23.4,9.7,A,0,0,0
F,17,164.7,98.2,110.7,18.2,8,23.6,10.2,B,0,0,0
F,45,148.2,55.4,80.2,15.6,7.6,21.6,8.6,A,0,1,0
F,33,166.6,53.8,67.2,18.1,7.4,23.9,9.6,B,0,0,0
F,19,162.4,51.8,65,17.2,7.2,22.9,9.7,AB,0,0,0
F,46,157.4,57.1,84.3,17,7.7,23.9,9.4,A,0,0,1
F,19,162.6,64.1,79.4,16.7,7.3,24.1,9.2,B,0,0,0
M,21,171.6,76.1,87.8,17.3,8.4,25.9,10.5,A,0,0,0
M,62,163.5,74.1,89,18,8.5,24.7,10,B,0,0,0
M,29,162.7,74,89.4,17.8,8.1,24.8,9.7,A,0,1,0
M,19,173.9,53.1,71,18.2,7.5,24.5,9.7,A,0,0,0
M,41,175.8,66.7,82.6,18.2,8.3,25.1,10.5,B,0,0,1
M,16,166.2,57,68.6,17.5,8,25.1,10.5,B,0,0,0
M,16,176.6,69.6,78,17.9,7.5,26.2,9.9,A,0,0,0
M,17,166.6,55.5,70.5,16.3,7.7,24.5,9,B,0,0,0
F,18,148.9,40.3,67.5,15.3,6.5,22.5,9.5,O,0,0,0
M,17,172.8,75.8,81.6,17.4,8.4,24.3,9.6,B,0,0,0
M,37,176.4,80.8,87.5,17.9,8.4,25.5,10.1,O,0,1,0
M,30,172,NA,80.7,18.7,7.7,25.6,10.3,A,0,1,1
